timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456631.1522899,-325.35,-373.9,-304.7,-365.85,-284.05,-256.15
1756456631.156773,-325.08,-374.17,-304.16,-366.12,-283.24,-255.88
1756456631.1601863,-325.62,-374.17,-303.63,-366.93,-282.97,-256.69
1756456631.1646683,-325.89,-374.44,-303.36,-367.19,-282.44,-256.15
1756456631.1692169,-325.62,-374.17,-304.16,-366.39,-284.05,-255.35
1756456631.172637,-326.69,-374.17,-304.16,-366.66,-282.97,-255.61
1756456631.177117,-325.89,-374.7,-304.16,-367.19,-282.97,-255.88
1756456631.1805341,-325.62,-373.9,-304.16,-367.19,-283.78,-256.15
1756456631.1850166,-325.89,-373.36,-304.16,-366.66,-284.05,-256.69
1756456631.1884332,-326.16,-373.36,-303.63,-366.39,-284.05,-256.69
1756456631.192916,-325.08,-373.9,-304.16,-366.39,-284.05,-256.15
1756456631.1963322,-325.89,-373.9,-303.89,-366.93,-284.05,-255.61
1756456631.2008142,-326.42,-374.7,-304.16,-367.46,-283.24,-255.35
1756456631.204227,-325.89,-374.7,-303.89,-367.46,-283.24,-255.35
1756456631.2087102,-325.35,-374.44,-304.43,-366.66,-284.05,-255.61
1756456631.2131886,-326.42,-374.17,-304.97,-366.66,-284.58,-254.81
1756456631.2166114,-325.62,-373.9,-304.97,-367.19,-284.05,-254.81
1756456631.221094,-325.62,-373.36,-304.43,-367.19,-284.05,-255.08
1756456631.2245111,-325.35,-374.17,-303.09,-367.19,-283.51,-255.35
1756456631.2289999,-325.35,-374.44,-303.63,-367.19,-282.97,-255.08
1756456631.2324123,-325.89,-374.17,-303.89,-367.46,-283.78,-254.81
1756456631.2368965,-326.42,-375.24,-304.16,-367.19,-283.51,-255.35
1756456631.2403138,-326.16,-374.7,-304.16,-366.93,-282.97,-255.35
1756456631.2447968,-326.42,-373.9,-303.89,-366.39,-282.7,-255.35
1756456631.248211,-326.42,-373.9,-303.63,-366.93,-283.51,-255.35
1756456631.2526941,-326.16,-374.97,-303.09,-366.39,-283.78,-254.81
1756456631.257172,-325.62,-374.7,-302.82,-366.66,-283.51,-254.81
1756456631.2605865,-325.62,-374.7,-303.09,-367.19,-283.51,-255.35
1756456631.2650676,-325.62,-373.9,-303.63,-366.93,-283.51,-255.88
1756456631.2684867,-326.42,-373.63,-304.16,-366.66,-284.05,-255.61
1756456631.2729707,-325.62,-373.9,-304.43,-365.85,-283.24,-255.61
1756456631.2763882,-325.35,-374.7,-304.43,-366.66,-282.97,-255.61
1756456631.2808683,-324.55,-375.24,-304.16,-366.66,-283.78,-255.35
1756456631.284285,-325.62,-374.97,-304.16,-366.93,-283.51,-256.15
1756456631.2887678,-325.89,-373.9,-303.36,-366.66,-283.51,-255.88
